date,price,,,,,
12/6/19,1422.41,,,,,
12/9/19,1404.22,,,,,
12/10/19,1357.8,,,,,
12/11/19,1366.64,,,,,
12/12/19,1390.59,,,,,
12/13/19,1391.63,,,,,
12/16/19,1301.81,,,,,
12/17/19,1190.73,,,,,
12/18/19,1301.21,,,,,
12/19/19,1291.57,,,,,
12/20/19,1330.77,,,,,
12/23/19,1331.45,,,,,
12/24/19,1313.06,,,,,
12/25/19,1299.59,,,,,
12/26/19,1319.99,,,,,
12/27/19,1316.23,,,,,
12/30/19,1322.94,,,,,
12/31/19,1293.57,,,,,
1/1/20,1329.03,,,,,
1/2/20,1265.55,,,,,
1/3/20,1329.68,,,,,
1/6/20,1403.27,,,,,
1/7/20,1426.48,,,,,
1/8/20,1396.72,,,,,
1/9/20,1378.55,,,,,
1/10/20,1420.51,,,,,
1/13/20,1463.87,,,,,
1/14/20,1590.01,,,,,
1/15/20,1751.07,,,,,
1/16/20,1772.18,,,,,
1/17/20,1829.62,,,,,
1/20/20,1775.07,,,,,
1/21/20,1786.76,,,,,
1/22/20,1782.96,,,,,
1/23/20,1681.52,,,,,
1/24/20,1715.24,,,,,
1/27/20,1833.17,,,,,
1/28/20,1850.01,,,,,
1/29/20,1918.18,,,,,
1/30/20,1945.17,,,,,
1/31/20,1900.37,,,,,
2/3/20,2001.7,,,,,
2/4/20,2020.71,,,,,
2/5/20,2104.91,,,,,
2/6/20,2163.24,,,,,
2/7/20,2170.88,,,,,
2/10/20,2240.8,,,,,
2/11/20,2380.23,,,,,
2/12/20,2478.25,,,,,
2/13/20,2428.81,,,,,
2/14/20,2531.65,,,,,
2/17/20,2194.27,,,,,
2/18/20,2343.42,,,,,
2/19/20,2290.71,,,,,
2/20/20,2127.88,,,,,
2/21/20,2188.03,,,,,
2/24/20,2101.51,,,,,
2/25/20,1977.58,,,,,
2/26/20,1808.36,,,,,
2/27/20,1893.17,,,,,
2/28/20,1808.22,,,,,
3/2/20,1938.45,,,,,
3/3/20,1907.93,,,,,
3/4/20,1919.3,,,,,
3/5/20,2008.95,,,,,
3/6/20,2011.81,,,,,
3/9/20,1631.91,,,,,
3/10/20,1693.86,,,,,
3/11/20,1613.8,,,,,
3/12/20,1185.89,,,,,
3/13/20,1069.95,,,,,
3/16/20,959.76,,,,,
3/17/20,1031.17,,,,,
3/18/20,1049.37,,,,,
3/19/20,1226.93,,,,,
3/20/20,1187.28,,,,,
3/23/20,1188.09,,,,,
3/24/20,1246.7,,,,,
3/25/20,1232.57,,,,,
3/26/20,1257.94,,,,,
3/27/20,1276.25,,,,,
3/30/20,1238.54,,,,,
3/31/20,1262.56,,,,,
4/1/20,1209.7,,,,,
4/2/20,1279.82,,,,,
4/3/20,1289.73,,,,,
4/6/20,1405.51,,,,,
4/7/20,1431.94,,,,,
4/8/20,1460.53,,,,,
4/9/20,1493.35,,,,,
4/10/20,1390.24,,,,,
4/13/20,1387.18,,,,,
4/14/20,1411.12,,,,,
4/15/20,1373.43,,,,,
4/16/20,1423.78,,,,,
4/17/20,1436.67,,,,,
4/20/20,1378.71,,,,,
4/21/20,1415.65,,,,,
4/22/20,1475.45,,,,,
4/23/20,1546.69,,,,,
4/24/20,1575.96,,,,,
4/27/20,1605.4,,,,,
4/28/20,1639.15,,,,,
4/29/20,1791.11,,,,,
4/30/20,1731.69,,,,,
5/1/20,1761.61,,,,,
5/4/20,1757.26,,,,,
5/5/20,1784.7,,,,,
5/6/20,1793.23,,,,,
5/7/20,1819.97,,,,,
5/8/20,1882.61,,,,,
5/11/20,1689.93,,,,,
5/12/20,1762.09,,,,,
5/13/20,1794.8,,,,,
5/14/20,1805.96,,,,,
5/15/20,1789.96,,,,,
5/18/20,1842.36,,,,,
5/19/20,1846.65,,,,,
5/20/20,1853.13,,,,,
5/21/20,1786.47,,,,,
5/22/20,1901.21,,,,,
5/25/20,1915.66,,,,,
5/26/20,1904.75,,,,,
5/27/20,1924.03,,,,,
5/28/20,1939.54,,,,,
5/29/20,1943.54,,,,,
6/1/20,2071.78,,,,,
6/2/20,2071.76,,,,,
6/3/20,2127.01,,,,,
6/4/20,2145.96,,,,,
6/5/20,2143.29,,,,,
6/8/20,2166.63,,,,,
6/9/20,2207.15,,,,,
6/10/20,2238.6,,,,,
6/11/20,2064.71,,,,,
6/12/20,2128.53,,,,,
6/15/20,2085.28,,,,,
6/16/20,2123.97,,,,,
6/17/20,2101.34,,,,,
6/18/20,2115.57,,,,,
6/19/20,2102.91,,,,,
6/22/20,2185.55,,,,,
6/23/20,2211.98,,,,,
6/24/20,2110.17,,,,,
6/25/20,2093.35,,,,,
6/26/20,2049.58,,,,,
6/29/20,2039.76,,,,,
